name,pop,lat,lon
Morrisville ,212,35.823483,-78.8255621
Albuquerque ,211,35.0841034,-106.6509851
Burbank ,210,34.1816482,-118.3258554
Coral Gables ,206,25.6905515,-80.23500888
Brentwood ,202,37.9317766,-121.6960266
East Moline ,201,41.5008673,-90.4442979
Sioux Falls ,194,43.5499749,-96.700327
Eden Prairie ,184,44.8546856,-93.470786
Lawrenceville ,184,33.9562149,-83.9879625
Emeryville ,182,37.8314089,-122.2865266
Tallahassee ,178,30.4380832,-84.2809332
Nashua ,178,42.7653662,-71.467566
Roswell ,176,33.3942655,-104.5230242
Eagan ,176,44.818173,-93.1659179
Tulsa ,172,36.1556805,-95.9929113
Fairfield ,172,38.2493581,-122.0399663
Fargo ,171,46.8772292,-96.789821
Norwood ,170,45.0696839,-89.04196248
Wayne ,170,38.4251958,-88.4197678
Farmington ,169,36.7304288,-108.2089191
Brookfield ,169,43.0605671,-88.1064787
Wichita ,167,37.6922361,-97.3375448
Savannah ,165,32.0835407,-81.0998342
Newport Beach ,163,33.6170092,-117.9294401
Sacramento ,162,38.5815719,-121.4943996
Greensboro ,161,36.0726355,-79.7919754
Sugar Land ,160,29.6196787,-95.6349463
Grand Rapids ,159,42.9632405,-85.6678639
Tucson ,157,32.2217422,-110.9264759
Tracy ,157,37.718829,-121.4342842
Calabasas ,146,34.1446643,-118.6440973
Costa Mesa ,145,33.6633386,-117.903317
Lubbock ,143,33.5778631,-101.8551665
Minnetonka ,140,44.9127229,-93.499059
St. Petersburg ,138,27.7703796,-82.6695085
Berkeley ,138,37.8708393,-122.2728639
St. Paul ,136,44.9504037,-93.1015026
Doral ,136,25.8184725,-80.35396781
Red Bank ,134,40.3470543,-74.0643065
Olathe ,133,38.8843867,-94.8161127
Franklin ,133,37.9765409,-88.9335327
Pullman ,133,46.7304268,-117.173895
Walnut Creek ,132,37.9063131,-122.064963
San Rafael ,132,37.9735346,-122.5310874
White Plains ,132,41.0339862,-73.7629097
Long Beach ,131,33.7774658,-118.1884871
Santa Ana ,130,33.7499595,-117.8732826
Greenville ,130,34.851354,-82.3984882
West Lafayette ,130,40.4258686,-86.9080655
New Haven ,129,41.3082138,-72.9250518
Hoboken ,129,40.7433066,-74.0323752
Thousand Oaks ,128,34.1705609,-118.8375937
Allen ,127,37.8882168,-95.3170208
New Orleans ,126,29.9499323,-90.0701156
Orange ,125,33.7500378,-117.8704931
Annapolis ,124,38.9786401,-76.492786
Athens ,124,33.9595974,-83.376678
Moline ,123,41.5067003,-90.5151342
Sunrise ,122,26.1482449,-80.32888574
West Des Moines ,122,41.5645337,-93.7595281
Marietta ,122,33.9528472,-84.5496148
Bothell ,122,47.759853,-122.2068217
Garland ,121,32.912624,-96.6388833
Carrollton ,121,33.5801103,-85.0766113
Redlands ,121,34.072662,-117.0934169
Milford  ,121,41.2223194,-73.0564953
Milford ,121,41.2223194,-73.0564953
Hilliard ,120,40.033814,-83.1596108
Southlake ,120,33.0074185,-97.16742841
University Park ,120,40.8005307,-77.8624447
Lakewood ,118,39.6246085,-105.0842039
Collierville ,118,35.042036,-89.6645266
Johnston ,117,34.31888,-96.6752298
Syracuse ,116,43.0481221,-76.1474244
Greenbelt ,116,39.0045544,-76.8755282
Akron ,115,41.0830643,-81.5184854
Broomfield ,115,39.9379892,-105.0587294
Lincoln ,113,40.8000554,-96.6674005
Waukesha ,113,43.0116784,-88.2314813
Bowie ,113,39.0067768,-76.7791365
Windsor ,112,42.3032758,-83.0285111
Danbury ,111,41.394817,-73.4540111
Bloomfield ,111,40.806767,-74.1854226
Beaverton ,109,45.4871723,-122.8037804
Des Plaines ,109,42.0415823,-87.8873916
Huntsville ,107,34.577718,-86.83583561
Providence ,107,41.8239891,-71.4128343
Coppell ,107,32.958352,-96.988183
Garden City ,107,37.9716898,-100.8726618
Boulder ,106,40.0149856,-105.2705456
Goleta ,106,34.4358295,-119.8276389
Montgomery ,104,32.3669656,-86.3006485
Toledo ,103,41.6786754,-83.5127283
Mobile ,103,30.6943566,-88.0430541
Evanston ,102,42.0447388,-87.6930459
Hackensack ,101,40.8859326,-74.0434736
Clive ,101,41.6096029,-93.7754352
Katy ,101,29.7857853,-95.8243956
Culver City ,100,34.0211224,-118.3964665
Anaheim ,99,33.8347516,-117.911732
Urbana ,99,40.1117174,-88.207301
New Castle ,99,41.0036719,-80.3470091
West Palm Beach ,98,26.7153425,-80.0533746
Roanoke ,98,37.270973,-79.9414313
Miamisburg ,96,39.6428362,-84.2866083
Newton ,95,42.3370414,-71.2092214
Bethlehem ,95,40.6178915,-75.3786521
Knoxville ,93,35.9603948,-83.9210261
Simi Valley ,93,34.2694474,-118.781482
Carmel ,93,39.9783711,-86.1180435
Mooresville ,93,35.570746,-80.8182992
North Chicago ,92,42.325578,-87.8411818
Monroe ,91,38.2722313,-90.1792484
Charlottesville ,91,38.029306,-78.4766781
Gallup ,91,35.5283573,-108.7439489
Temple Terrace ,90,28.0352964,-82.3892596
Hollywood ,89,34.1028268,-118.3299899
Santa Barbara ,89,34.4098107,-119.6970239
Amherst ,89,42.3803676,-72.523143
Lawrence ,88,38.9719384,-95.2359496
Fort Smith ,88,35.3872218,-94.4248983
Kirkland ,88,47.6859573,-122.1920249
Danville ,88,40.125222,-87.6304614
Hayward ,87,37.6688205,-122.0807964
Evansville ,87,37.9747645,-87.5558483
Lehi ,86,40.3880902,-111.8491619
Westlake Village ,86,34.1458389,-118.8056474
Jackson ,85,32.2990384,-90.1847691
Ames ,85,42.0346917,-93.6201507
Plainview ,85,34.1847936,-101.7068417
Fresno ,84,36.7394421,-119.7848307
Lansing ,84,42.7337712,-84.5553805
Midland ,84,43.6155825,-84.2472117
Colleyville ,83,32.8809603,-97.155012
Lafayette ,82,30.2240897,-92.0198427
Decatur ,82,39.8628075,-88.89387182
Dearborn ,81,42.3222599,-83.1763145
Des Moines ,79,41.5910641,-93.6037149
Port Washington ,78,40.8256561,-73.6981858
Union ,78,37.4616454,-89.2504793
Bakersfield ,77,35.3738712,-119.0194639
Norman ,77,35.2225717,-97.4394816
Delray Beach ,77,26.4614625,-80.0728201
Diamond Bar ,77,34.0286226,-117.8103367
El Paso ,76,31.8111305,-106.5013493
Auburn ,76,32.5978265,-85.56335486
Hamilton ,75,43.254687,-79.8678197
Mansfield ,75,40.75839,-82.5154471
Winston-Salem ,74,36.0998167,-80.2441445
Kalamazoo ,74,42.291707,-85.5872286
Saline ,74,37.750075,-88.5302584
Federal Way ,73,47.313494,-122.3393103
Lenexa ,72,38.9536174,-94.7335709
Chattanooga ,71,35.0456297,-85.3096801
Benton Harbor ,71,42.1167065,-86.4541894
Stockton ,70,37.9577016,-121.2907796
Provo ,70,40.2338438,-111.6585337
Carson ,70,33.8322043,-118.2517547
New Albany ,70,38.2856247,-85.8241312
Mason ,70,40.2302271,-89.8660433
Salem ,69,44.9391565,-123.033121
Topeka ,69,39.0490111,-95.6775557
Livermore ,69,37.6820583,-121.7680531
Davis ,68,38.545379,-121.7445835
Gardena ,68,33.8883302,-118.3070892
Concord ,67,43.207106,-71.5370216
Quincy ,67,39.9356016,-91.4098727
Bartlett ,67,41.9908485,-88.1850028
Manassas ,66,38.744947,-77.48244413
Berwyn ,65,41.8505874,-87.7936685
Burlingame ,65,37.5841026,-122.3660825
Marshfield ,65,44.6688524,-90.1717987
Hillsborough ,65,27.9184543,-82.3488057
Bridgeport ,64,41.1670412,-73.2048348
Miami Beach ,64,25.7881436,-80.1272705
San Leandro ,64,37.7249296,-122.1560768
Champaign ,64,40.1164205,-88.2433829
Kenner ,64,29.9942265,-90.2417806
Westerville ,64,40.1261743,-82.9290696
Water Town ,64,42.0642643,-73.93190045
Lewisville ,62,33.046233,-96.994174
Charleston ,61,32.7876012,-79.9402728
Lowell ,61,42.6334247,-71.3161718
Hillsboro ,61,45.5228939,-122.989827
Gahanna ,61,40.019468,-82.8790706
Warrenville ,61,41.817807,-88.1734021
Fullerton ,60,33.8708215,-117.9294165
Plantation ,60,26.1265258,-80.25786104
Los Altos ,60,37.3790629,-122.116578
Hudson ,60,40.7322695,-74.07663
Santa Fe Springs ,60,33.9482434,-118.0676103
Shreveport ,59,32.4828485,-93.82848316
Pomona ,59,34.0552886,-117.7522793
Lakeland ,59,28.0394654,-81.9498042
Erie ,58,42.129461,-80.085239
Tuscaloosa ,58,33.2668398,-87.4862182
Ithaca ,58,42.4396039,-76.4968019
Colorado Springs ,57,38.8339578,-104.8253485
Poway ,57,32.9628234,-117.0358646
Binghamton ,57,42.096968,-75.914341
Lake Mary ,57,28.7566325,-81.33888114
Lyndhurst ,57,40.8120247,-74.1242816
Virginia Beach ,56,36.7953025,-76.05092502
Yonkers ,56,40.9312099,-73.8987469
High Point ,56,35.9556924,-80.0053176
Wilsonville ,56,45.3099218,-122.7681602
Little Canada ,56,43.9233915,-73.6495723
San Bruno ,55,37.6304904,-122.4110835
Bowling Green ,54,36.9903199,-86.4436018
East Lansing ,54,42.7355416,-84.4852469
Green Bay ,53,44.5299412,-88.0248317
Huntington ,53,38.4192496,-82.445154
LaGrange ,53,41.6372578,-85.4216948
La Grange ,53,29.9055033,-96.876647
Fayetteville ,52,36.111508,-94.20986672
Racine ,52,42.7261309,-87.7828523
Vernon ,52,31.0847886,-93.2003582
Schenectady ,51,42.8095455,-74.021672
Camarillo ,51,34.2163939,-119.0376024
Wilson ,51,37.5692118,-95.7452639
Fort Collins ,50,40.5508527,-105.0668085
Corvallis ,50,44.5645659,-123.2620435
Manhattan ,50,40.7902778,-73.9597222
Kingsport ,50,36.5484341,-82.5618186
Park Ridge ,50,42.0111412,-87.8406192
Bellaire ,50,29.7057858,-95.4588299
Fort Wayne ,49,41.0799898,-85.1386015
Petaluma ,49,38.270022,-122.6061223
Statesboro ,49,32.4487877,-81.7831674
Bismarck ,48,46.8083268,-100.7837392
Sarasota ,48,27.3364347,-82.5306527
Saginaw ,48,43.4200387,-83.9490365
Ruston ,48,32.5232053,-92.637927
Newport News ,47,37.016827,-76.4505196
Tyler ,47,32.3512601,-95.3010624
South Jordan ,47,40.5621704,-111.929658
Beverly Hills ,47,34.0736204,-118.4003563
Bryan ,46,30.693444,-96.40080172
Livingston ,46,40.8682487,-88.5631125
Corpus Christi ,45,27.8002542,-97.3955744
San Marcos ,45,29.8826436,-97.9405828
Lynchburg ,45,37.40088,-79.18449229
Muncie ,45,40.1936683,-85.3865114
Joplin ,45,37.0842271,-94.513281
Laurel ,45,39.0992752,-76.8483061
Keene ,45,42.933597,-72.2784264
Batavia ,44,41.8500284,-88.3125738
Hermitage ,44,37.9414217,-93.3163093
Commerce ,44,34.0024048,-118.1563371
Buena Park ,43,33.870413,-117.9962165
Harrisburg ,43,40.2663107,-76.8861122
Blacksburg ,43,37.2296566,-80.4136767
Hercules ,43,38.0171441,-122.2885808
Lancaster ,42,40.03813,-76.3056686
Miramar ,42,25.97591145,-80.33472113
Cranston ,42,41.7809588,-71.4371257
Harrisonburg ,42,38.4493315,-78.8688833
Galveston ,42,29.299328,-94.7945882
Dover ,42,39.158168,-75.5243682
Fort Mill ,42,35.0073697,-80.9450759
Corning ,42,42.1428521,-77.0546903
Mesquite ,41,32.7666103,-96.599472
Frederick ,41,39.414443,-77.4105783
Fort Myers ,41,26.640628,-81.8723084
Arcadia ,41,34.1362075,-118.0401497
Elmhurst ,41,41.8994745,-87.9403418
Morgan Hill ,41,37.130408,-121.6544974
Orangeburg ,41,33.4918203,-80.8556476
Highland Heights ,41,41.5519954,-81.4784522
Garden Grove ,40,33.7746292,-117.9463717
Roseville ,40,38.72338,-121.1858782
Renton ,40,47.4799078,-122.2034496
Chino ,40,34.0133561,-117.690075
Taylor ,40,32.556921,-84.2395154
Grand Forks ,40,47.9078244,-97.0592028
Placentia ,40,33.8714814,-117.8617337
Altamonte Springs ,40,28.6649055,-81.37626851
Wildwood ,40,38.5795893,-90.6294468
Issaquah ,40,47.5348778,-122.0432974
Clemson ,40,34.6850749,-82.8364111
Monterey Park ,39,34.0512156,-118.129229
Kennesaw ,39,34.0234337,-84.6154897
Batesville ,39,35.78883,-91.65050847
South Amboy ,39,40.4782514,-74.2907363
Huntington Beach ,38,33.6781238,-118.0000112
Medford ,38,42.3264181,-122.8718605
Monterey ,38,36.583431,-121.8540929
Ashland ,38,38.4784144,-82.6379387
Henderson ,37,40.8156124,-90.9104547
Waukegan ,37,42.3636331,-87.8447938
Longview ,37,32.5007038,-94.7404891
Fountain Valley ,37,33.7038145,-117.9627349
Beloit ,37,42.5083272,-89.031784
Worthington ,37,43.6205056,-95.5956434
Corona ,36,40.7469593,-73.8601456
Waterbury ,36,41.5581525,-73.0514966
Elgin ,36,42.0372487,-88.2811895
Daly City ,36,37.688432,-122.4606865
Union City ,36,37.5963232,-122.0816297
Stillwater ,36,36.1156306,-97.0585717
Elkhorn ,36,42.6727927,-88.5445447
Houghton ,36,45.76148055,-98.21244444
Chula Vista ,35,32.6400541,-117.0841955
Rockford ,35,42.2713945,-89.093966
Sterling Heights ,35,42.5803122,-83.0302033
Waco ,35,31.549333,-97.1466695
Shelton ,35,41.3164856,-73.0931641
Painesville ,35,41.7244885,-81.245657
Las Cruces ,34,32.3140354,-106.7798078
Royal Oak ,34,42.4894801,-83.1446485
Holyoke ,34,42.22415795,-72.64021831
Westlake ,34,41.4553232,-81.9179174
Morris ,34,38.6908906,-96.6707526
Riverside ,33,33.9533546,-117.3961623
Woodbury ,33,44.92317,-92.9588282
Daytona Beach ,33,29.2108147,-81.0228331
Chapel Hill ,33,35.9131996,-79.0558445
Hattiesburg ,33,31.3271189,-89.2903392
Marion ,33,37.7306054,-88.9331256
Winona ,33,44.049963,-91.6393152
Clinton ,33,38.5896187,-89.420064
Woodstock ,33,42.0409247,-74.1181971
Ada ,33,38.8398935,-83.5051704
Laredo ,32,27.5060991,-99.5088979
Modesto ,32,37.6390972,-120.9968782
Greeley ,32,40.4233142,-104.7091322
Johnson City ,32,36.3134398,-82.3534728
Murray ,32,34.4935341,-97.0475803
Spartanburg ,32,34.9498007,-81.9320157
Poughkeepsie ,32,41.7065779,-73.9284101
Carbondale ,32,37.7274692,-89.216655
Everett ,31,47.9673056,-122.2013998
Davenport ,31,41.5236436,-90.5776368
Rancho Cordova ,31,38.5890723,-121.302728
Santa Cruz ,31,36.9746099,-122.0294259
Logan ,31,40.1075089,-89.3768539
Richfield ,31,44.8766431,-93.2877877
Miami Lakes ,31,25.91162125,-80.32127406
Maryland Heights ,31,38.7131073,-90.4298401
Cumberland ,31,39.2744299,-88.2423795
Golden Valley ,31,46.3040364,-109.1714312
West Point ,31,41.3929109,-73.9568049
Ellisville ,31,38.5941048,-90.5875099
Alameda ,30,37.6090291,-121.899142
Pittsburg ,30,38.0187757,-121.8850836
Cypress ,30,33.8248235,-118.0399368
Sunset Hills ,30,38.5389423,-90.407341
Hialeah ,29,25.8670435,-80.29146312
Pompano Beach ,29,26.2378597,-80.1247667
Davie ,29,26.075729,-80.28410878
Mount Pleasant ,29,32.7940651,-79.8625851
Shawnee ,29,39.0416718,-94.7202376
Conway ,29,35.0886963,-92.4421011
Marysville ,29,39.1457247,-121.5913516
Palm Desert ,29,33.7288179,-116.3825711
DeKalb ,29,41.9294736,-88.7503647
Loves Park ,29,42.3200189,-89.0581621
Summit ,29,39.6070951,-106.0636654
Mill Valley ,29,37.9060368,-122.5449763
Chesapeake ,28,36.8190369,-76.2749399
Denton ,28,33.1728435,-97.05898636
Centennial ,28,39.5680644,-104.9778307
Hawthorne ,28,33.9113109,-118.3477942
Merced ,28,37.3029568,-120.4843269
Lake Charles ,28,30.2265949,-93.2173759
Rochester Hills ,28,42.6583661,-83.1499322
Mount Vernon ,28,38.3172715,-88.9031201
Grapevine ,28,32.9342919,-97.0780654
College Park ,28,38.980666,-76.9369189
Opelika ,28,32.652151,-85.45598514
Ypsilanti ,28,42.2411499,-83.6129939
Miami Gardens ,27,25.94207545,-80.23975271
Somerville ,27,42.3875968,-71.0994968
Appleton ,27,44.2611337,-88.4067604
Dothan ,27,31.158522,-85.4269662
Flower Mound ,27,33.0145673,-97.0969552
Cedar Park ,27,30.5119385,-97.8097447
Battle Creek ,27,42.3192548,-85.1824269
La Crosse ,27,43.8804365,-91.25484113
Palm Beach Gardens ,27,26.84176195,-80.13530872
San Luis Obispo ,27,35.2827525,-120.6596156
Covington ,27,39.0837489,-84.5086221
Fredericksburg ,27,38.3031837,-77.4605399
Westbrook ,27,43.6770252,-70.3711617
Culpeper ,27,38.4912207,-77.9618216
Pikeville ,27,37.4792672,-82.5187629
Spokane ,26,47.6588603,-117.4247134
Eugene ,26,44.0505054,-123.0950506
Coral Springs ,26,26.26485615,-80.26534189
Yuma ,26,32.665167,-114.4759049
Pearland ,26,29.5639758,-95.2864299
Largo ,26,27.9094665,-82.7873244
Flagstaff ,26,35.199458,-111.6514259
Rosemead ,26,34.0676169,-118.0879763
Edina ,26,44.8897027,-93.3501222
Olympia ,26,47.0450197,-122.8948725
Midvale ,26,40.6110589,-111.8999353
Casselberry ,26,28.654276,-81.32379065
Wooster ,26,40.8050565,-81.935143
Neenah ,26,44.1858193,-88.462609
Fairlawn ,26,38.8709456,-76.9788641
Mesa ,25,33.436188,-111.5860661
Brownsville ,25,25.9140256,-97.4890856
Elk Grove ,25,38.4087993,-121.3716178
McAllen ,25,26.154573,-98.26072076
El Monte ,25,34.0751571,-118.036849
Tustin ,25,33.7458511,-117.826166
Dubuque ,25,42.5006217,-90.6647967
West Hollywood ,25,34.0900091,-118.3617443
Laramie ,25,41.3113669,-105.5911007
Marshall ,25,35.9089643,-92.6312746
New Hope ,25,45.0380201,-93.3866185
Papillion ,25,41.1544433,-96.0422378
Cortland ,25,42.5842136,-76.0704906
Port Arthur ,24,29.8988258,-93.9287815
Elyria ,24,41.3683798,-82.1076486
Normal ,24,40.5117699,-88.9944815
Novato ,24,38.1061979,-122.5681191
Urbandale ,24,41.6274552,-93.7380624
Dalton ,24,34.723727,-84.86850912
Winter Park ,24,28.6000625,-81.34274374
Stevens Point ,24,44.5229223,-89.574111
Hyattsville ,24,38.95325,-76.9408522
Tonawanda ,24,43.0206785,-78.8783834
Brockton ,23,42.0834335,-71.0183787
Camden ,23,30.9298212,-81.6225075
Montclair ,23,40.8259332,-74.2090344
Warrensburg ,23,38.7627893,-93.7360498
Brecksville ,23,41.3197763,-81.6267904
Effingham ,23,39.1201433,-88.54348
Arden Hills ,23,45.0761409,-93.1666945
Liberty Lake ,23,47.6631371,-117.0855725
Inglewood ,22,33.9616801,-118.3531311
Orem ,22,40.2975185,-111.6944685
Edmond ,22,35.6571367,-97.4649038
Bellingham ,22,48.754402,-122.4788602
Missoula ,22,46.879583,-113.921459
Rock Hill ,22,34.9248667,-81.0250784
Terre Haute ,22,39.4667025,-87.4139119
Cheyenne ,22,41.1399814,-104.8202462
Rogers ,22,36.3781607,-95.6190889
Pensacola ,22,30.421309,-87.2169149
Greenwood ,22,37.8709542,-96.2471338
Azusa ,22,34.1338751,-117.9056046
Westfield ,22,42.1250929,-72.7495381
Findlay ,22,41.0413873,-83.6503982
Oak Park ,22,41.8850317,-87.7845025
Muscatine ,22,41.424473,-91.0432051
East Peoria ,22,40.666149,-89.5800978
Darien ,22,41.0787079,-73.4692873
Greensburg ,22,40.3014581,-79.5389289
Oxnard ,21,34.1975048,-119.1770516
Rancho Cucamonga ,21,34.1063989,-117.5931084
Sparks ,21,39.5348431,-119.7527683
Ocala ,21,29.1871986,-82.1400923
Holland ,21,42.7876022,-86.1090828
Liberty ,21,31.8031632,-81.483441
Wheeling ,21,42.125144,-87.92930515
Plattsburgh ,21,44.6928101,-73.4555973
Calhoun ,21,39.1397507,-90.6506113
Pataskala ,21,39.9956193,-82.6743341
Harrison ,21,30.4553392,-89.1313136
Smithfield ,21,35.5085717,-78.3392929
Visalia ,20,36.3302284,-119.2920585
South Bend ,20,41.6833813,-86.2500066
Lawton ,20,34.6086854,-98.3903305
Mission Viejo ,20,33.5965685,-117.659405
Trenton ,20,40.2170575,-74.7429463
New Rochelle ,20,40.9115386,-73.7826363
Upland ,20,34.09751,-117.6483876
West Haven ,20,41.2706527,-72.9470471
Sanford ,20,35.4798757,-79.1802994
Plainfield ,20,41.623191,-88.22843248
Portage ,20,41.5758708,-87.1761455
Pittsfield ,20,42.4500967,-73.2453785
Jefferson City ,20,38.577359,-92.1724265
Bozeman ,20,45.6799842,-111.0446748
Aventura ,20,25.953257,-80.13664587
Freeport ,20,42.2966861,-89.6212271
Williston ,20,48.1476108,-103.6181384
Oneonta ,20,33.93252,-86.4721129
Pembroke Pines ,19,26.02322025,-80.34123892
Vista ,19,33.2000368,-117.2425355
Yakima ,19,46.601557,-120.5108421
Fall River ,19,43.2264954,-103.5791473
Sandy ,19,40.572851,-111.8334495
Missouri City ,19,29.6330685,-95.5375482
Huntersville ,19,35.4107135,-80.8428483
Minot ,19,48.2325095,-101.2962732
Claremont ,19,34.0966764,-117.7197785
San Juan Capistrano ,19,33.5016932,-117.6625509
La Verne ,19,34.1008426,-117.7678355
New London ,19,41.3556539,-72.0995209
Twinsburg ,19,41.3125552,-81.4401129
Boone ,19,42.321246,-88.8235511
Humble ,19,29.9988312,-95.2621553
Lewisburg ,19,40.9645293,-76.8844101
Webster ,19,32.050618,-84.5473105
Pella ,19,44.72375425,-88.79744676
Astoria ,19,46.1878845,-123.8312563
Orono ,19,44.883299,-68.6722541
